"网金社酒店代码"	"对应酒店代码"
"H00005351"	"345025"
"H00005305"	"345029"
"H00050181"	"346488"
"H00005308"	"347308"
"H00026275"	"347310"
"H00005307"	"347312"
"H00014719"	"347414"
"H00005364"	"347422"
"H00005361"	"347426"
"H00062980"	"369673"
"H00005540"	"369675"
"H00005545"	"369688"
"H00005502"	"369700"
"H00026243"	"369708"
"H00026235"	"369745"
"H00005681"	"374775"
"H00014666"	"374776"
"H00005683"	"374778"
"H00026229"	"374780"
"H00014631"	"374781"
"H00014627"	"374782"
"H00028943"	"374783"
"H00080761"	"374786"
"H00014621"	"374787"
"H00026212"	"374792"
"H00005687"	"374795"
"H00014609"	"374796"
"H00005685"	"374798"
"H00005686"	"374799"
"H00014598"	"374800"
"H00029781"	"374801"
"H00005670"	"375079"
"H00014593"	"375093"
"H00005675"	"375096"
"H00005674"	"375098"
"H00005634"	"375511"
"H00005671"	"378583"
"H00005710"	"385114"
"H00005711"	"385117"
"H00005714"	"385119"
"H00005751"	"387040"
"H00014552"	"387045"
"H00005762"	"391655"
"H00005763"	"391657"
"H00005781"	"391750"
"H00014541"	"393315"
"H00005868"	"396387"
"H00014521"	"396407"
"H00005821"	"396423"
"H00014516"	"396425"
"H00014512"	"396427"
"H00026175"	"419461"
"H00014484"	"419804"
"H00005992"	"419951"
"H00005993"	"419959"
"H00005994"	"419961"
"H00026150"	"419975"
"H00006015"	"424787"
"H00006035"	"425031"
"H00006033"	"426113"
"H00014451"	"426244"
"H00014426"	"426347"
"H00014422"	"426748"
"H00014419"	"426782"
"H00034664"	"426840"
"H00006054"	"426976"
"H00006026"	"427006"
"H00026140"	"427015"
"H00026094"	"427091"
"H00028940"	"427267"
"H00012280"	"427376"
"H00006131"	"427531"
"H00014393"	"427807"
"H00006119"	"427870"
"H00006118"	"427874"
"H00026023"	"427952"
"H00006260"	"428497"
"H00026004"	"428559"
"H00006204"	"428586"
"H00006316"	"428607"
"H00006158"	"429034"
"H00014384"	"429037"
"H00025994"	"429044"
"H00006165"	"429047"
"H00025987"	"429111"
"H00006264"	"429118"
"H00006213"	"429202"
"H00006212"	"429203"
"H00025945"	"429206"
"H00014375"	"429480"
"H00014372"	"429484"
"H00125678"	"429492"
"H00006190"	"429494"
"H00006192"	"429498"
"H00006303"	"429503"
"H00006301"	"429505"
"H00028935"	"429507"
"H00006310"	"429509"
"H00006309"	"429511"
"H00006312"	"429527"
"H00014364"	"429533"
"H00006273"	"429541"
"H00006276"	"429548"
"H00006195"	"429662"
"H00006160"	"430004"
"H00014358"	"430008"
"H00006175"	"430214"
"H00006191"	"430223"
"H00029653"	"430229"
"H00006187"	"430242"
"H00062954"	"430250"
"H00006167"	"430265"
"H00006169"	"430270"
"H00006220"	"430601"
"H00006369"	"431407"
"H00006366"	"431614"
"H00025927"	"431620"
"H00014342"	"431626"
"H00006364"	"431628"
"H00006372"	"431632"
"H00006373"	"431634"
"H00014327"	"431636"
"H00006374"	"431639"
"H00006368"	"431641"
"H00025913"	"431870"
"H00006371"	"431874"
"H00012486"	"432789"
"H00006391"	"432794"
"H00014281"	"432964"
"H00006406"	"433523"
"H00014269"	"434120"
"H00025910"	"434333"
"H00006426"	"434454"
"H00025907"	"434938"
"H00025903"	"435756"
"H00012668"	"435767"
"H00014231"	"435777"
"H00014222"	"435787"
"H00012125"	"435794"
"H00014208"	"435808"
"H00012428"	"435849"
"H00006507"	"436056"
"H00025899"	"436059"
"H00014182"	"436061"
"H00014172"	"436070"
"H00014167"	"436071"
"H00014159"	"436072"
"H00118140"	"436074"
"H00113426"	"436077"
"H00014148"	"436078"
"H00006491"	"436167"
"H00014099"	"436287"
"H00006533"	"436626"
"H00014094"	"436887"
"H00025892"	"436901"
"H00012358"	"436908"
"H00014080"	"436911"
"H00014062"	"436918"
"H00006598"	"436921"
"H00028837"	"437222"
"H00025879"	"437440"
"H00006610"	"437574"
"H00014056"	"437721"
"H00006540"	"437909"
"H00025873"	"439311"
"H00044809"	"440456"
"H00014041"	"440481"
"H00025868"	"440874"
"H00006641"	"440888"
"H00006706"	"441339"
"H00006734"	"442324"
"H00006733"	"442330"
"H00006731"	"442347"
"H00006735"	"443362"
"H00020873"	"443555"
"H00025844"	"443568"
"H00020869"	"443570"
"H00025842"	"443694"
"H00020866"	"443702"
"H00043428"	"443916"
"H00080781"	"443932"
"H00006753"	"443938"
"H00006745"	"443992"
"H00006758"	"444199"
"H00020863"	"444612"
"H00020857"	"444709"
"H00111829"	"445551"
"H00020854"	"445941"
"H00025836"	"446082"
"H00025829"	"447190"
"H00006859"	"447411"
"H00020824"	"447434"
"H00020816"	"447443"
"H00006878"	"447622"
"H00020799"	"447703"
"H00012448"	"448716"
"H00020792"	"449251"
"H00025806"	"449599"
"H00034668"	"449676"
"H00020789"	"449875"
"H00011928"	"449879"
"H00020779"	"451098"
"H00020772"	"451101"
"H00112089"	"451176"
"H00020769"	"451190"
"H00020764"	"451196"
"H00020762"	"451198"
"H00020742"	"451202"
"H00069404"	"451870"
"H00025795"	"451914"
"H00006955"	"452197"
"H00020732"	"452221"
"H00020729"	"452641"
"H00020726"	"453079"
"H00020723"	"453361"
"H00020720"	"453498"
"H00020717"	"453571"
"H00006970"	"453862"
"H00020713"	"454138"
"H00007013"	"454164"
"H00012318"	"454364"
"H00006993"	"454616"
"H00028831"	"454628"
"H00025767"	"454991"
"H00025761"	"455003"
"H00118085"	"455280"
"H00020696"	"455341"
"H00020678"	"455758"
"H00025405"	"455868"
"H00025398"	"456307"
"H00025392"	"456342"
"H00020660"	"456463"
"H00020656"	"456474"
"H00025377"	"456476"
"H00088810"	"456477"
"H00128157"	"456478"
"H00025360"	"457145"
"H00029802"	"457152"
"H00025348"	"457154"
"H00025318"	"457162"
"H00012242"	"457169"
"H00088788"	"457179"
"H00020608"	"457181"
"H00020597"	"457186"
"H00020595"	"457195"
"H00025305"	"457199"
"H00007050"	"457205"
"H00034465"	"457207"
"H00025276"	"457217"
"H00025270"	"457224"
"H00096954"	"457226"
"H00020517"	"457232"
"H00011955"	"457234"
"H00020514"	"457236"
"H00025267"	"457238"
"H00110032"	"457240"
"H00007048"	"457244"
"H00107227"	"457536"
"H00007062"	"457686"
"H00011949"	"457695"
"H00020502"	"457701"
"H00025242"	"458419"
"H00115963"	"458560"
"H00088959"	"458578"
"H00029720"	"467288"
"H00007258"	"467314"
"H00028806"	"467959"
"H00032995"	"468005"
"H00020480"	"468772"
"H00034319"	"468777"
"H00012179"	"469046"
"H00020431"	"469580"
"H00025218"	"469749"
"H00025214"	"472247"
"H00007380"	"472933"
"H00036081"	"473309"
"H00011959"	"473542"
"H00007395"	"473577"
"H00020424"	"473629"
"H00028803"	"473716"
"H00088848"	"473776"
"H00011979"	"473789"
"H00007419"	"473809"
"H00007418"	"473815"
"H00020414"	"473857"
"H00025211"	"474002"
"H00025207"	"474107"
"H00012588"	"474114"
"H00025176"	"479851"
"H00028798"	"481108"
"H00007555"	"481675"
"H00020409"	"481723"
"H00025170"	"482420"
"H00007578"	"482510"
"H00020407"	"482528"
"H00007587"	"482816"
"H00007592"	"482952"
"H00007600"	"482983"
"H00020403"	"483538"
"H00007613"	"483697"
"H00025157"	"486026"
"H00007844"	"501888"
"H00072777"	"511629"
"H00007936"	"511769"
"H00007935"	"512860"
"H00085267"	"512979"
"H00034460"	"513299"
"H00043453"	"514233"
"H00007988"	"514258"
"H00020397"	"531706"
"H00110669"	"533005"
"H00025093"	"533335"
"H00012498"	"534568"
"H00025048"	"535068"
"H00008319"	"535615"
"H00008323"	"535646"
"H00008748"	"605294"
"H00020393"	"605417"
"H00020389"	"607153"
"H00025029"	"608377"
"H00008824"	"608385"
"H00008821"	"608413"
"H00025024"	"608421"
"H00008829"	"608432"
"H00020373"	"632424"
"H00025015"	"634277"
"H00008998"	"634858"
"H00034453"	"638075"
"H00009110"	"643469"
"H00020361"	"650635"
"H00012210"	"655441"
"H00090093"	"657094"
"H00020307"	"660401"
"H00009314"	"660403"
"H00029658"	"660874"
"H00009280"	"660934"
"H00009315"	"661096"
"H00009287"	"661166"
"H00024991"	"667122"
"H00009375"	"667159"
"H00020253"	"667388"
"H00081101"	"668204"
"H00020246"	"668389"
"H00020243"	"668718"
"H00009414"	"668814"
"H00034474"	"669249"
"H00024970"	"689264"
"H00024960"	"690291"
"H00029650"	"691270"
"H00020224"	"697540"
"H00020219"	"697553"
"H00020216"	"698041"
"H00012228"	"698154"
"H00024939"	"698604"
"H00028787"	"698732"
"H00020205"	"699041"
"H00028785"	"699310"
"H00043551"	"699980"
"H00024935"	"700199"
"H00024927"	"700209"
"H00043650"	"701379"
"H00020196"	"701612"
"H00020189"	"701666"
"H00012457"	"702404"
"H00009791"	"705646"
"H00012147"	"706607"
"H00029443"	"707943"
