"网金社酒店代码"	"对应酒店代码"
"H00000002"	"94742"
"H00000003"	"97631569"
"H00000004"	"5246516"
"H00000005"	"177764312"
"H00000006"	"189060004"
"H00000007"	"6717399"
"H00000008"	"6089874"
"H00000009"	"6441074"
"H00000010"	"190594197"
"H00000011"	"93068218"
"H00000012"	"6726294"
"H00000013"	"3256179"
"H00000014"	"6950525"
"H00000015"	"6009372"
"H00000016"	"1195648"
"H00000017"	"40287908"
"H00000018"	"6954698"
"H00000019"	"42805883"
"H00000020"	"41165944"
"H00000021"	"294841"
"H00000022"	"41546673"
"H00000023"	"190589779"
"H00000024"	"4468944"
"H00000025"	"6248923"
"H00000026"	"152355892"
"H00000027"	"111835624"
"H00000028"	"194976286"
"H00000029"	"820355172"
"H00000030"	"93761398"
"H00000031"	"40926068"
"H00000032"	"5915855"
"H00000033"	"352229"
"H00000034"	"161068577"
"H00000035"	"329118"
"H00000036"	"4070320"
"H00000037"	"5633476"
"H00000038"	"1377847375"
"H00000039"	"4700248"
"H00000040"	"195386603"
"H00000041"	"160566557"
"H00000042"	"4874487"
"H00000043"	"2084156"
"H00000044"	"161816148"
"H00000045"	"6605489"
"H00000046"	"582778245"
"H00000047"	"160588876"
"H00000048"	"161849458"
"H00000049"	"160757851"
"H00000050"	"161860429"
"H00000051"	"161815090"
"H00000052"	"6134061"
"H00000053"	"1184086397"
"H00000054"	"160140500"
"H00000055"	"5295127"
"H00000056"	"162984138"
"H00000057"	"159347886"
"H00000058"	"161858526"
"H00000059"	"6697200"
"H00000060"	"160823943"
"H00000061"	"189588167"
"H00000062"	"161086515"
"H00000063"	"194632599"
"H00000064"	"160812421"
"H00000065"	"88826"
"H00000066"	"195199603"
"H00000067"	"182509259"
"H00000068"	"4212686"
"H00000069"	"4202071"
"H00000070"	"94129491"
"H00000071"	"5117036"
"H00000072"	"41425968"
"H00000073"	"63772693"
"H00000074"	"5153666"
"H00000075"	"159745875"
"H00000076"	"98129773"
"H00000077"	"5919276"
"H00000078"	"160059492"
"H00000079"	"6185834"
"H00000080"	"41129417"
"H00000081"	"161455873"
"H00000082"	"1507525"
"H00000083"	"41325404"
"H00000084"	"6970178"
"H00000085"	"4903494"
"H00000086"	"160524108"
"H00000087"	"161753801"
"H00000088"	"274048"
"H00000089"	"1510581"
"H00000090"	"2607328"
"H00000091"	"1410291"
"H00000092"	"5498299"
"H00000093"	"88824"
"H00000094"	"361441"
"H00000095"	"4105822"
"H00000096"	"88985739"
"H00000097"	"6577912"
"H00000098"	"160320217"
"H00000099"	"4350108"
"H00000100"	"6884353"
"H00000101"	"5268763"
"H00000102"	"2516944"
"H00000103"	"1252893"
"H00000104"	"2440813"
"H00000105"	"91513"
"H00000106"	"1553985"
"H00000107"	"2250894"
"H00000108"	"2252606"
"H00000109"	"6458830"
"H00000110"	"2248862"
"H00000111"	"3317086"
"H00000112"	"1276713"
"H00000113"	"181479605"
"H00000114"	"2454072"
