level,cityCode,cityName
6,MY5132,阿坝藏族羌族自治州
6,MY6529,阿克苏地区
6,MY1529,阿拉善盟
6,MY6543,阿勒泰地区
6,MY5425,阿里地区
6,MY6109,安康
3,MY3408,安庆
6,MY2103,鞍山
6,MY5204,安顺
6,MY4105,安阳
6,MY2208,白城
6,MY4510,百色
6,MY2206,白山
6,MY6204,白银
6,MY1306,保定
6,MY6103,宝鸡
6,MY5305,保山
3,MY1502,包头
6,MY1508,巴彦淖尔
6,MY6528,巴音郭楞蒙古自治州
6,MY5119,巴中
6,MY4505,北海
1,MY1002,北京
3,MY3403,蚌埠
6,MY2105,本溪
6,MY5205,毕节
4,MY3716,滨州
6,MY6527,博尔塔拉蒙古自治州
6,MY3416,亳州
3,MY1309,沧州
2,MY2201,长春
3,MY4307,常德
6,MY5403,昌都
6,MY6523,昌吉回族自治州
2,MY4301,长沙
6,MY1404,长治
6,MY3204,常州
6,MY4451,潮州
6,MY1308,承德
2,MY5101,成都
6,MY4310,郴州
6,MY1504,赤峰
6,MY3417,池州
2,MY5001,重庆
6,MY4514,崇左
6,MY5323,
3,MY3411,滁州
2,MY2102,大连
6,MY5329,大理白族自治州
6,MY2106,丹东
6,MY4604,儋州
6,MY2306,大庆
6,MY1402,大同
6,MY2327,大兴安岭地区
6,MY5117,达州
6,MY5331,德宏傣族景颇族自治州
4,MY5106,德阳
3,MY3714,德州
6,MY6211,定西
6,MY5334,迪庆藏族自治州
1,MY4419,东莞
3,MY3705,东营
6,MY1506,鄂尔多斯
6,MY4228,恩施土家族苗族自治州
6,MY4207,鄂州
6,MY4506,防城港
2,MY4406,佛山
6,MY2104,抚顺
6,MY2109,阜新
3,MY3412,阜阳
6,MY3610,抚州
2,MY3501,福州
6,MY6230,甘南藏族自治州
3,MY3607,赣州
6,MY5133,甘孜藏族自治州
6,MY5116,广安
6,MY5108,广元
1,MY1004,广州
6,MY4508,贵港
3,MY4503,桂林
6,MY5201,贵阳
6,MY6326,果洛藏族自治州
6,MY6404,固原
2,MY2301,哈尔滨
5,MY6322,海北藏族自治州
6,MY6302,海东
3,MY4601,海口
6,MY6325,海南藏族自治州
6,MY6328,海西蒙古族藏族自治州
6,MY632800,海西州
6,MY6505,哈密
3,MY1304,邯郸
2,MY3301,杭州
6,MY6107,汉中
6,MY4106,鹤壁
5,MY4512,河池
1,MY3401,合肥
6,MY2304,鹤岗
6,MY2311,黑河
6,MY1311,衡水
3,MY4304,衡阳
6,MY6532,和田地区
6,MY4416,河源
3,MY3717,菏泽
6,MY4511,贺州
6,MY5325,红河哈尼族彝族自治州
3,MY3208,淮安
6,MY3406,淮北
6,MY4312,怀化
6,MY3404,淮南
6,MY4211,黄冈
6,MY6323,黄南藏族自治州
6,MY3410,黄山
4,MY4202,黄石
3,MY1501,呼和浩特
6,MY4413,惠州
6,MY2114,葫芦岛
6,MY1507,呼伦贝尔
3,MY3305,湖州
6,MY2308,佳木斯
3,MY4407,江门
6,MY3608,吉安
6,MY4108,焦作
4,MY3304,嘉兴
6,MY6202,嘉峪关
3,MY4452,揭阳
6,MY2202,吉林
2,MY3701,济南
6,MY6203,金昌
6,MY1405,晋城
6,MY3602,景德镇
6,MY4208,荆门
3,MY4210,荆州
6,MY3307,金华
3,MY3708,济宁
6,MY1407,晋中
6,MY2107,锦州
3,MY3604,九江
6,MY6209,酒泉
6,MY2303,鸡西
